"approx","pvalue","zscore"
1,1e-09,5.99780701500769
2,2e-09,5.88419335480046
3,3e-09,5.81675774012583
4,4e-09,5.76845830463076
5,5e-09,5.73072886823629
6,6e-09,5.6997262034556
7,7e-09,5.67338878890301
8,8e-09,5.65048045428
9,9e-09,5.63020074085708
10,1e-08,5.61200124417479
11,1.1e-08,5.59548962865789
12,1.2e-08,5.58037542028118
13,1.3e-08,5.56643748350308
14,1.4e-08,5.5535035351021
15,1.5e-08,5.54143671278319
16,1.6e-08,5.53012646857746
17,1.7e-08,5.51948221566578
18,1.8e-08,5.50942878574218
19,1.9e-08,5.49990311062366
20,2e-08,5.49085175210435
21,2.1e-08,5.48222903230124
22,2.2e-08,5.47399559729405
23,2.3e-08,5.46611729879819
24,2.4e-08,5.45856431288329
25,2.5e-08,5.45131043784548
26,2.6e-08,5.44433252920094
27,2.7e-08,5.43761004084737
28,2.8e-08,5.4311246493012
29,2.9e-08,5.4248599435764
30,3e-08,5.41880116739794
31,3.1e-08,5.4129350034887
32,3.2e-08,5.40724939194336
33,3.3e-08,5.401733376418
34,3.4e-08,5.39637697317127
35,3.5e-08,5.39117105899695
36,3.6e-08,5.38610727486682
37,3.7e-08,5.38117794271074
38,3.8e-08,5.37637599323976
39,3.9e-08,5.37169490309786
40,4e-08,5.36712863993063
41,4.1e-08,5.36267161420255
42,4.2e-08,5.35831863679091
43,4.3e-08,5.35406488154408
44,4.4e-08,5.349905852122
45,4.5e-08,5.34583735254396
46,4.6e-08,5.3418554609565
47,4.7e-08,5.3379565062079
48,4.8e-08,5.3341370468759
49,4.9e-08,5.33039385244655
50,5e-08,5.3267238863845
51,5.1e-08,5.32312429087083
52,5.2e-08,5.31959237301509
53,5.3e-08,5.31612559237364
54,5.4e-08,5.31272154962845
55,5.5e-08,5.30937797629918
56,5.6e-08,5.30609272537718
57,5.7e-08,5.3028637627841
58,5.8e-08,5.29968915956923
59,5.9e-08,5.29656708477029
60,6e-08,5.29349579887094
61,6.1e-08,5.29047364779618
62,6.2e-08,5.28749905739324
63,6.3e-08,5.28457052835176
64,6.4e-08,5.28168663152176
65,6.5e-08,5.2788460035926
66,6.6e-08,5.27604734310008
67,6.7e-08,5.27328940673208
68,6.8e-08,5.27057100590646
69,6.9e-08,5.2678910035973
70,7e-08,5.26524831138831
71,7.1e-08,5.2626418867341
72,7.2e-08,5.26007073041183
73,7.3e-08,5.25753388414776
74,7.4e-08,5.25503042840433
75,7.5e-08,5.25255948031492
76,7.6e-08,5.25012019175473
77,7.7e-08,5.24771174753693
78,7.8e-08,5.24533336372464
79,7.9e-08,5.24298428604981
80,8e-08,5.24066378843099
81,8.1e-08,5.23837117158264
82,8.2e-08,5.23610576170932
83,8.3e-08,5.23386690927858
84,8.4e-08,5.23165398786691
85,8.5e-08,5.22946639307357
86,8.6e-08,5.22730354149765
87,8.7e-08,5.22516486977389
88,8.8e-08,5.22304983366327
89,8.9e-08,5.22095790719476
90,9e-08,5.21888858185468
91,9.1e-08,5.21684136582065
92,9.2e-08,5.21481578323711
93,9.3e-08,5.21281137352984
94,9.4e-08,5.21082769075689
95,9.5e-08,5.20886430299369
96,9.6e-08,5.20692079175014
97,9.7e-08,5.20499675141776
98,9.8e-08,5.20309178874501
99,9.9e-08,5.20120552233913
100,1e-07,5.19933758219282
101,1.01e-07,5.19748760923436
102,1.02e-07,5.19565525489981
103,1.03e-07,5.19384018072586
104,1.04e-07,5.19204205796233
105,1.05e-07,5.19026056720308
106,1.06e-07,5.18849539803426
107,1.07e-07,5.18674624869909
108,1.08e-07,5.18501282577801
109,1.09e-07,5.18329484388362
110,1.1e-07,5.18159202536933
111,1.11e-07,5.17990410005127
112,1.12e-07,5.17823080494246
113,1.13e-07,5.17657188399881
114,1.14e-07,5.17492708787624
115,1.15e-07,5.17329617369831
116,1.16e-07,5.17167890483387
117,1.17e-07,5.1700750506842
118,1.18e-07,5.16848438647917
119,1.19e-07,5.16690669308193
120,1.2e-07,5.16534175680171
121,1.21e-07,5.1637893692144
122,1.22e-07,5.16224932699041
123,1.23e-07,5.16072143172954
124,1.24e-07,5.15920548980254
125,1.25e-07,5.15770131219888
126,1.26e-07,5.1562087143807
127,1.27e-07,5.15472751614237
128,1.28e-07,5.15325754147561
129,1.29e-07,5.15179861843979
130,1.3e-07,5.1503505790372
131,1.31e-07,5.14891325909312
132,1.32e-07,5.14748649814036
133,1.33e-07,5.14607013930818
134,1.34e-07,5.14466402921532
135,1.35e-07,5.14326801786699
136,1.36e-07,5.14188195855567
137,1.37e-07,5.14050570776545
138,1.38e-07,5.13913912507991
139,1.39e-07,5.13778207309324
140,1.4e-07,5.13643441732458
141,1.41e-07,5.13509602613535
142,1.42e-07,5.1337667706495
143,1.43e-07,5.13244652467656
144,1.44e-07,5.13113516463732
145,1.45e-07,5.12983256949209
146,1.46e-07,5.1285386206714
147,1.47e-07,5.12725320200909
148,1.48e-07,5.12597619967756
149,1.49e-07,5.1247075021253
150,1.5e-07,5.12344700001643
151,1.51e-07,5.12219458617226
152,1.52e-07,5.12095015551473
153,1.53e-07,5.11971360501178
154,1.54e-07,5.11848483362437
155,1.55e-07,5.11726374225532
156,1.56e-07,5.11605023369969
157,1.57e-07,5.11484421259681
158,1.58e-07,5.1136455853838
159,1.59e-07,5.11245426025048
160,1.6e-07,5.11127014709582
161,1.61e-07,5.11009315748564
162,1.62e-07,5.10892320461158
163,1.63e-07,5.10776020325148
164,1.64e-07,5.10660406973079
165,1.65e-07,5.10545472188524
166,1.66e-07,5.10431207902464
167,1.67e-07,5.10317606189769
168,1.68e-07,5.10204659265791
169,1.69e-07,5.10092359483053
170,1.7e-07,5.09980699328037
171,1.71e-07,5.09869671418063
172,1.72e-07,5.09759268498264
173,1.73e-07,5.0964948343864
174,1.74e-07,5.09540309231207
175,1.75e-07,5.09431738987213
176,1.76e-07,5.09323765934451
177,1.77e-07,5.09216383414628
178,1.78e-07,5.09109584880824
179,1.79e-07,5.09003363895014
180,1.8e-07,5.08897714125655
181,1.81e-07,5.08792629345352
182,1.82e-07,5.08688103428574
183,1.83e-07,5.08584130349441
184,1.84e-07,5.08480704179565
185,1.85e-07,5.0837781908596
186,1.86e-07,5.08275469328991
187,1.87e-07,5.08173649260393
188,1.88e-07,5.08072353321336
189,1.89e-07,5.07971576040538
190,1.9e-07,5.07871312032437
191,1.91e-07,5.077715559954
192,1.92e-07,5.07672302709984
193,1.93e-07,5.07573547037243
194,1.94e-07,5.07475283917076
195,1.95e-07,5.07377508366615
196,1.96e-07,5.07280215478663
197,1.97e-07,5.07183400420158
198,1.98e-07,5.0708705843069
199,1.99e-07,5.06991184821042
200,2e-07,5.06895774971779
201,2.01e-07,5.06800824331861
202,2.02e-07,5.067063284173
203,2.03e-07,5.06612282809844
204,2.04e-07,5.06518683155695
205,2.05e-07,5.06425525164256
206,2.06e-07,5.06332804606914
207,2.07e-07,5.06240517315846
208,2.08e-07,5.06148659182857
209,2.09e-07,5.06057226158243
210,2.1e-07,5.05966214249685
211,2.11e-07,5.05875619521167
212,2.12e-07,5.05785438091917
213,2.13e-07,5.05695666135378
214,2.14e-07,5.05606299878197
215,2.15e-07,5.05517335599245
216,2.16e-07,5.05428769628648
217,2.17e-07,5.05340598346854
218,2.18e-07,5.05252818183713
219,2.19e-07,5.05165425617576
220,2.2e-07,5.05078417174423
221,2.21e-07,5.04991789427002
222,2.22e-07,5.04905538993992
223,2.23e-07,5.04819662539186
224,2.24e-07,5.04734156770684
225,2.25e-07,5.04649018440117
226,2.26e-07,5.04564244341873
227,2.27e-07,5.04479831312357
228,2.28e-07,5.04395776229247
229,2.29e-07,5.04312076010787
230,2.3e-07,5.0422872761508
231,2.31e-07,5.04145728039402
232,2.32e-07,5.04063074319532
233,2.33e-07,5.03980763529093
234,2.34e-07,5.03898792778911
235,2.35e-07,5.03817159216384
236,2.36e-07,5.03735860024863
237,2.37e-07,5.03654892423054
238,2.38e-07,5.03574253664423
239,2.39e-07,5.0349394103662
240,2.4e-07,5.03413951860909
